1.6000e-02	9.9166e-01	9.7471e-04
1.7000e-02	9.9670e-01	1.0130e-03
1.8000e-02	9.9508e-01	1.0128e-03
1.9000e-02	1.0000e+00	1.0139e-03
2.0000e-02	9.9431e-01	1.0274e-03
2.1000e-02	9.8739e-01	1.0108e-03
2.2000e-02	1.7041e+00	1.8561e-03
2.3000e-02	1.3214e+00	2.1723e-03
2.4000e-02	1.2376e+00	2.5782e-03
2.5000e-02	1.2126e+00	3.0313e-03
2.6000e-02	1.2004e+00	3.5303e-03
2.7000e-02	1.1852e+00	3.9599e-03
2.8000e-02	1.1912e+00	4.4174e-03
2.9000e-02	1.1896e+00	4.9210e-03
3.0000e-02	1.2177e+00	3.1633e-03
3.1000e-02	1.2184e+00	3.4040e-03
3.2000e-02	1.2237e+00	3.6585e-03
3.3000e-02	1.2324e+00	3.9778e-03
3.4000e-02	1.2314e+00	4.2730e-03
3.6000e-02	1.2494e+00	3.3156e-03
3.8000e-02	1.2630e+00	3.4671e-03
4.0000e-02	1.2796e+00	3.6659e-03
4.2000e-02	1.3014e+00	3.8754e-03
4.4000e-02	1.3142e+00	4.0854e-03
4.6000e-02	1.3371e+00	4.4180e-03
4.8000e-02	1.3590e+00	4.7439e-03
5.0000e-02	1.3863e+00	4.9532e-03
5.2000e-02	1.3985e+00	5.2494e-03
5.4000e-02	1.4245e+00	5.5898e-03
5.6000e-02	1.4381e+00	3.3091e-03
5.8000e-02	1.4647e+00	3.5203e-03
6.0000e-02	1.4778e+00	3.7132e-03
6.2000e-02	1.4977e+00	3.9362e-03
6.4000e-02	1.5208e+00	4.1716e-03
6.6000e-02	1.5332e+00	4.3920e-03
7.0000e-02	1.5656e+00	3.3741e-03
7.5000e-02	1.5986e+00	3.5550e-03
8.0000e-02	1.6280e+00	3.7680e-03
8.5000e-02	1.6368e+00	3.9466e-03
9.0000e-02	1.6566e+00	4.1876e-03
9.5000e-02	1.6688e+00	4.4490e-03
1.0000e-01	1.6567e+00	4.6702e-03
1.0500e-01	1.6426e+00	4.9480e-03
1.1000e-01	1.6118e+00	5.2031e-03
1.1500e-01	1.5758e+00	5.4717e-03
1.2000e-01	1.5205e+00	3.0551e-03
1.2500e-01	1.4637e+00	3.1646e-03
1.3000e-01	1.3929e+00	3.2348e-03
1.3500e-01	1.3143e+00	3.3287e-03
1.4000e-01	1.2242e+00	3.4112e-03
1.4500e-01	1.1322e+00	1.7368e-03
1.5000e-01	1.0346e+00	1.6217e-03
1.5500e-01	9.3137e-01	1.4995e-03
1.6000e-01	8.2724e-01	1.3785e-03
1.6500e-01	7.2124e-01	1.2553e-03
1.7000e-01	6.1956e-01	1.1394e-03
1.7500e-01	5.1995e-01	1.0239e-03
1.8000e-01	4.2726e-01	9.1649e-04
1.8500e-01	3.3975e-01	6.5712e-04
1.9000e-01	2.5993e-01	5.3847e-04
1.9500e-01	1.9022e-01	4.3455e-04
2.0000e-01	1.3052e-01	3.4423e-04
2.0500e-01	8.2600e-02	2.6881e-04
2.1000e-01	4.6493e-02	2.0629e-04
2.1500e-01	2.3546e-02	1.6211e-04
2.2000e-01	1.4207e-02	1.4597e-04
2.2420e-01	1.6217e-02	1.4588e-04
2.3400e-01	6.0256e-02	3.0137e-04
2.4380e-01	1.5703e-01	6.1296e-04
2.5360e-01	3.0233e-01	1.0649e-03
2.6340e-01	4.9303e-01	1.6532e-03
2.7320e-01	7.1257e-01	2.3292e-03
2.8300e-01	9.6077e-01	3.0925e-03
2.9280e-01	1.2215e+00	3.8990e-03
3.0260e-01	1.4817e+00	4.7113e-03
3.1240e-01	1.7321e+00	5.5008e-03
3.2220e-01	1.9480e+00	6.1997e-03
3.3200e-01	2.1306e+00	6.8099e-03
3.4180e-01	2.2676e+00	7.2964e-03
3.5160e-01	2.3568e+00	7.6580e-03
3.6140e-01	2.3873e+00	7.8580e-03
3.7120e-01	2.3541e+00	7.8860e-03
3.8100e-01	2.2741e+00	7.7865e-03
3.9080e-01	2.1387e+00	7.5410e-03
4.0060e-01	1.9159e+00	2.9383e-02
4.1040e-01	1.7695e+00	2.7876e-02
4.2020e-01	1.5881e+00	2.5725e-02
4.3000e-01	1.3909e+00	2.2950e-02
4.4000e-01	1.2384e+00	3.9140e-02
4.5000e-01	1.0308e+00	3.2585e-02
4.6000e-01	8.3259e-01	2.6327e-02
4.7000e-01	6.5922e-01	2.0854e-02
4.8000e-01	4.8537e-01	1.7501e-02
4.9000e-01	3.9024e-01	1.3996e-02
5.0000e-01	3.3904e-01	1.2230e-02
5.1000e-01	3.3010e-01	1.2212e-02
5.2000e-01	3.5734e-01	1.3834e-02
5.3000e-01	4.1465e-01	1.6902e-02
5.4000e-01	5.8367e-01	3.9988e-02
5.6000e-01	8.4486e-01	5.7867e-02
5.8000e-01	1.0448e+00	7.1555e-02
6.0000e-01	1.1400e+00	7.8085e-02
6.2000e-01	1.1246e+00	7.7046e-02
6.4000e-01	1.0140e+00	6.9502e-02
6.6000e-01	8.5154e-01	5.8422e-02
6.8000e-01	6.7286e-01	4.6260e-02
7.0000e-01	5.0607e-01	3.4960e-02
7.2000e-01	3.5224e-01	2.4660e-02
7.4000e-01	2.3658e-01	1.7173e-02
7.6000e-01	1.5093e-01	1.2135e-02
